2015/06/05	代码	名称	最新	市盈率	涨幅	总额	换手率	销售毛利率	每股净资产	净利润同比	主营收入同比	连涨日子	连涨涨幅	连涨上市	涨停降幅	涨停位置	小幅个数	备忘	报告期	主营收入同比	A股	行业	市盈率	净利润同比	主营收入同比	400组振幅	外盘	30组涨幅	30日子	量比	均价	委比	委差	成交笔数	成交方向	总市值	流通市值
113	'600139'	西部资源		-155.80①				42.357	1.930	-724.610	322.830	1286.000							20150331一季报	322.830	66189	采掘业	-155.80①	-724.610	322.830						20.13					1332386	1332386
114	'600141'	兴发集团		98.24①				14.861	9.087	49.530	20.710	2164.000							20150331一季报	20.710	40688	石油化工	98.24①	49.530	20.710						16.78					890572	682740
115	'600143'	金发科技		45.31①				17.872	3.205	37.900	5.440	2171.000							20150331一季报	5.440	256000	石油化工	45.31①	37.900	5.440						14.50					3712000	3712000
116	'600146'	大元股份		-487.50①				-35.381	0.730	47.630	-97.580	492.000							20150331一季报	-97.580	20000	石油化工	-487.50①	47.630	-97.580						23.40					468000	468000
117	'600148'	长春一东		187.97①				30.273	2.660	-30.310	-24.110	1857.000							20150331一季报	-24.110	14152	机械仪表	187.97①	-30.310	-24.110						27.82					393699	393699
118	'600149'	廊坊发展		-1402.08①				91.835	0.714	-248.280	-90.900	1432.000							20150331一季报	-90.900	38016	综合类	-1402.08①	-248.280	-90.900						20.19					767543	767543
119	'600150'	中国船舶		165.69①				6.492	12.710	349.870	13.320	1998.000							20150331一季报	13.320	137812	机械仪表	165.69①	349.870	13.320						59.65					8220472	8220472
120	'600151'	航天机电		-55.69①				13.540	2.922	-301.060	-64.280	1125.000							20150331一季报	-64.280	120470	机械仪表	-55.69①	-301.060	-64.280						15.37					1921527	1851617
121	'600152'	维科精华		-68.67①				6.111	1.919	35.430	-52.000	218.000							20150331一季报	-52.000	29349	纺织服装	-68.67①	35.430	-52.000						16.48					483678	483678
122	'600153'	建发股份		28.17①				6.504	6.235	-14.690	4.980								20150331一季报	4.980	283520	商业贸易	28.17①	-14.690	4.980						14.65					4153569	4153569
123	'600155'	宝硕股份		-74.90①				-0.614	0.216	-83.720	-7.380								20150331一季报	-7.380	41250	石油化工	-74.90①	-83.720	-7.380						14.98					713951	617925
124	'600156'	华升股份		-139.71①				9.447	1.676	18.980	-35.930	1952.000							20150331一季报	-35.930	40211	纺织服装	-139.71①	18.980	-35.930						11.40					458406	458406
125	'600157'	永泰能源		855.30①				45.821	1.762	-31.920	-3.320	36.000							20150331一季报	-3.320	459565	采掘业	855.30①	-31.920	-3.320						11.29					12638749	5188494
126	'600158'	中体产业		734.50①				23.148	1.801	141.540	16.550	866.000							20150331一季报	16.550	65750	房地产	734.50①	141.540	16.550						37.90					3197757	2491908
127	'600159'	大龙地产		-168.17①				18.612	2.553	-390.240	-60.900	293.000							20150331一季报	-60.900	83000	房地产	-168.17①	-390.240	-60.900						9.35					776053	776053
